Municipality,Population,Votedyes,Votedno,Voted,DidNotVote,Affected1984,Affected1985,Affected1986,Affected1987,Affected1988,Affected1989,Affected1990,Affected1991,Affected1992,Affected1993,Affected1994,Affected1995,Affected1996,Affected1997,Affected1998,Affected1999,Affected2000,Affected2001,Affected2002,Affected2003,Affected2004,Affected2005,Affected2006,Affected2007,Affected2008,Affected2009,Affected2010,Affected2011,Affected2012,Affected2013,Affected2014,Affected2015,Affected2016,Affected2017,Weightedaffected84to2002,Weightedaffected2003to2016,Weightedaffected,Affected9999,Total_affected,affected84to2002,affected2003to2016,Divipola,Departamento,Municipio,Rurality2010,PovertyIndex2013,IDHMpnud2010,ArmedGroups,Rezagoescolar,COBERTURA_NETA_MEDIA,ProportionAffected,ProporTotAff,Weightedaffected10group,ConflictIndex,ndicedeindicenciadelconflictocategora,ConflictCategory
5001,2486723,37.02,62.97,46.06,53.94,7022,514,910,1211,1919,2722,4738,5690,5427,6177,5903,5610,6424,6498,7043,8005,8988,11488,15182,9371,5165,7690,3517,4533,5139,9528,13119,20160,25344,16212,11596,7740,4173,3800,222466343,288053966,510520309,24,258582,111471,143287,5001,Antioquia,Medellín, ,0.896,0.7469528,1,25,55.81,205.2984225,0.103985044,10,0.012554347,Medio bajo,2
5002,19195,38.1,61.89,23.87,76.13,84,4,10,31,79,55,63,55,24,47,61,177,137,133,239,514,1265,1351,2457,1635,1145,749,568,439,373,93,116,74,81,34,73,26,6,8,13569929,10852428,24422357,8,12214,6786,5412,5002,Antioquia,Abejorral,0.4482,0.7858,0.628456538,0,31.6,38.6,1272.329096,0.636311539,8,0.028004412,Medio,3
5004,2075,39.08,60.91,29.51,70.49,7,16,24,27,22, ,11,24,8,6,77,67,257,104,276,349,497,89,91,105,101,73,30,18,39,5,14,10,13,3,7, ,6,5,3899498,850386,4749884, ,2381,1952,424,5004,Antioquia,Abriaquí,0.5798,0.7647,0.654926353,0,25.6,55.07,2289.100723,1.14746988,5,0.031455316,Medio,3
5021,3435,58.12,41.87,37.9,62.1,88,4, ,5,12,29,10,5,19,17,22,33,50,52,109,314,1641,2971,906,538,203,124,117,111,59,37,19,1,23,6,8,3,9,2,12575186,2522186,15097372, ,7547,6287,1258,5021,Antioquia,Alejandría,0.484,0.8002,0.646681492,0,31.3,61.4,4395.159243,2.197088792,8,0.039624069,Alto,4
5030,29770,33.48,66.51,28.91,71.09,81,21,17,16,77,47,39,44,86,91,55,68,28,44,98,61,306,307,241,230,92,121,95,75,134,52,44,172,116,208,176,112,61,30,3448009,3391846,6839855, ,3445,1727,1688,5030,Antioquia,Amagá,0.2759,0.7828,0.625440622,0,31.9,39.58,229.7566342,0.115720524,6,0.0102747,Medio bajo,2
5031,22253,36.24,63.75,22.55,77.45,262,115,157,62,88,123,97,143,192,175,182,233,184,704,1168,635,1045,786,704,257,284,366,316,244,394,260,212,303,401,960,296,407,172,86,14087770,9792579,23880349,1,12014,7055,4872,5031,Antioquia,Amalfi,0.541,0.8156,0.617913486,0,37.7,27.65,1073.129421,0.539882263,8,0.032705911,Alto,4
5034,46221,35.78,64.21,26.09,73.91,194,54,116,55,79,75,182,291,261,161,126,148,239,262,274,223,385,433,409,348,312,287,396,363,368,315,136,170,250,235,272,193,91,37,7915562,7503867,15419429, ,7740,3967,3736,5034,Antioquia,Andes,0.3829,0.7956,0.624586789,0,32.2,29.32,333.6022371,0.167456351,8,0.014118846,Medio bajo,2
5036,9082,35.51,64.48,27.98,72.02,20, ,3, ,5,16,6,11,26,12,27,15,28,43,195,400,609,254,126,95,69,23,39,63,8,7,12,12,29,90,30,20,13,13,3590189,1024176,4614365, ,2319,1796,510,5036,Antioquia,Angelópolis,0.3724,0.8155,0.610892784,0,31.5,26.6,508.0780665,0.255340233,5,0.008659473,Medio bajo,2
5038,11240,39.29,60.7,21.13,78.87,26,16,15,7,23,19,26,54,109,89,59,41,110,130,124,168,166,1922,384,220,147,189,189,104,131,97,108,129,44,133,173,365,61,38,6973202,4199605,11172807,1,5617,3488,2090,5038,Antioquia,Angostura,0.471,0.7736,0.589560654,0,41.2,28.6,994.0219751,0.499733096,7,0.035127975,Alto,4
5040,17304,64.92,35.07,26.77,73.23,166,33,21,19,34,27,25,75,48,32,49,46,79,336,311,323,688,2557,488,169,413,309,428,524,820,325,327,6676,590,604,462,500,166,91,10708810,24753687,35462497,2,17763,5357,12313,5040,Antioquia,Anorí,0.58,0.8293,0.663007811,0,38.9,25.51,2049.381472,1.026525659,9,0.111214787,Muy Alto,5
5042,24724,30.1,69.89,39.82,60.18,87,35,12,56,9,24,21,89,34,95,85,217,441,405,283,363,404,388,317,474,303,198,139,193,134,89,64,126,141,87,61,79,62,22,6720386,4315562,11035948, ,5537,3365,2150,5042,Antioquia,Santafé de Antioquia,0.4478,0.7548,0.629988221,0,31,34.36,446.3657984,0.223952435,7,0.020028831,Medio,3
5044,7580,32.91,67.08,20.12,79.88,83,13, ,19,32,44,38,48,46,37,38,109,263,145,250,350,3044,195,213,123,129,84,78,83,71,42,44,49,30,23,19,29,108,9,9927434,1831367,11758801,2,5890,4967,912,5044,Antioquia,Anza,0.4771,0.6918,0.585651279,0,42.3,29.79,1551.293008,0.777044855,7,0.011161889,Medio bajo,2
5045,183716,52.32,47.67,31.34,68.66,1360,453,606,946,1344,1207,1501,1197,1759,3011,6115,6034,6901,12622,5097,3465,5946,4239,4112,1608,2066,4060,3543,3022,2558,1910,1347,1497,1772,1920,1820,1410,634,504,135556800,58580389,194137189,3,97589,67915,29167,5045,Antioquia,Apartadó,0.342,0.7996,0.647534299,1,25.8,22.99,1056.72445,0.531194888,10,0.014040563,Medio bajo,2
5051,41209,65.58,34.41,27.34,72.66,353,333,258,366,847,864,2699,774,1994,4054,1984,2795,960,3462,1101,779,927,946,650,440,511,547,485,456,614,328,316,279,323,220,208,140,168,54,52134193,10110730,62244923,1,31236,26146,5035,5051,Antioquia,Arboletes,0.4824,0.6838,0.614664597,1,46.1,23.09,1510.469145,0.75798976,10,0.004807524,Bajo,1
5055,8578,32.48,67.51,31.16,68.84,628,141,59,121,130,110,204,156,158,180,158,300,331,480,534,860,1763,1284,7987,2154,2144,4356,3540,695,457,104,66,56,125,81,65,87,9,1,31154818,27951703,59106521, ,29524,15584,13939,5055,Antioquia,Argelia,0.4573,0.6372,0.620560698,0,39.2,42.09,6890.478083,3.441827932,10,0.088912413,Muy Alto,5
5059,4110,30.8,69.19,21.18,78.82,15, , ,2,1, ,3,7,7, ,11,23,13,18,28,69,166,105,60,12,118,48,14,33,23,28,24,8,148,82,27,26,42,25,1055386,1272109,2327495, ,1186,528,633,5059,Antioquia,Armenia,0.4304,0.6718,0.600752125,1,31.3,43.05,566.3004866,0.288564477,4,0.006845373,Medio bajo,2
5079,50836,32.64,67.35,34.84,65.16,208,12,15,20,32,88,118,209,164,154,183,235,222,227,348,224,1583,728,614,291,182,266,293,244,193,108,109,197,193,209,225,154,44,66,10754413,5439367,16193780,1,8159,5384,2708,5079,Antioquia,Barbosa,0.3248,0.8591,0.6545998,0,31.6,42.41,318.57452,0.160509128,8,0.013832531,Medio bajo,2
5086,6823,43.37,56.62,33.63,66.37,16, ,7,8,7, ,10,8,2,15, ,9,35,130,100,48,57,36,33,28,47,26,5,52,18,97,53,5,22,40,26,47,11,7,1040444,958427,1998871, ,1005,521,477,5086,Antioquia,Belmira,0.509,0.752,0.637146621,0,31.2,34.06,292.9607211,0.147295911,4,0.006142823,Bajo,1
5088,464614,36.43,63.56,38.26,61.74,682,39,73,109,343,313,631,1084,965,881,849,867,854,864,740,733,931,2151,1410,796,764,493,481,512,497,570,522,794,1040,1062,1385,925,582,315,28973873,20952302,49926175, ,25257,14519,10423,5088,Antioquia,Bello,0.1197,0.7588,0.670977076,1,28.1,38.78,107.4698101,0.054367574,10,0.007581532,Medio bajo,2
5091,9188,29.56,70.43,19.21,80.79,97,7,15,32,50,57,66,92,110,66,107,348,630,655,494,304,314,178,179,72,108,82,77,105,53,38,48,35,31,61,61,66,26,36,7588037,1733311,9321348, ,4700,3801,863,5091,Antioquia,Betania,0.4229,0.7564,0.602954523,0,36.9,29.24,1014.513278,0.511536787,7,0.007513303,Medio bajo,2
5093,17606,34.37,65.62,22.59,77.41,263,12,2,45,43,80,106,86,88,112,65,174,188,323,486,4950,9344,1412,1242,696,595,383,412,311,473,393,145,74,104,72,75,106,60,39,38027274,7824401,45851675,3,22962,19021,3899,5093,Antioquia,Betulia,0.4185,0.6874,0.581877057,1,41.4,31.57,2604.32097,1.304214472,10,0.017563418,Medio bajo,2
5101,26957,29.78,70.21,23.45,76.55,135,17,42,59,81,107,119,136,186,169,77,203,466,579,415,501,579,712,421,384,353,224,213,235,194,206,102,46,139,156,158,149,184,84,9992141,5508626,15500767, ,7831,5004,2743,5101,Antioquia,Ciudad Bolívar,0.3791,0.7384,0.615527314,0,33.6,32.21,575.0182513,0.290499685,8,0.014257718,Medio bajo,2
5107,8692,69.35,30.64,33.68,66.32,65,41,24,22,36,19,18,57,55,59,70,46,73,140,78,152,816,1030,714,154,162,266,455,344,534,278,308,449,587,588,545,594,582,249,7026324,11754911,18781235,4,9614,3515,5846,5107,Antioquia,Briceño,0.5186,0.5706,0.579990656,1,46.9,18.05,2160.74954,1.106074551,8,0.070089228,Muy Alto,5
5113,6566,34.75,65.24,20.58,79.42,69,31,17,28,35,43,17,28,35,33,25,38,59,86,97,65,522,5095,136,101,105,162,126,155,113,33,25,39,87,166,121,65,156,88,12918277,2921621,15839898, ,8001,6459,1454,5113,Antioquia,Buriticá,0.5246,0.6796,0.561609434,1,36.6,27.67,2412.412123,1.218550107,8,0.011600398,Medio bajo,2
5120,38850,64.85,35.14,20.23,79.77,183,53,18,50,120,96,226,115,100,164,222,306,452,543,520,381,727,1363,884,392,551,522,875,772,966,1913,2480,2774,1896,1212,1572,999,748,557,13029047,35528372,48557419, ,24752,6523,17672,5120,Antioquia,Cáceres,0.5612,0.8157,0.583218459,1,44.3,16.87,1249.869215,0.637117117,10,0.040613998,Alto,4
5125,8275,39.16,60.83,26.26,73.74,58,14, ,25,38,41,45,33,98,110,62,132,197,232,238,154,191,307,407,201,198,192,175,155,232,139,176,169,96,110,118,41,82,45,4757304,4185377,8942681,2,4513,2382,2084,5125,Antioquia,Caicedo,0.4586,0.6891,0.590668282,0,44.9,22.54,1080.686526,0.545377644,7,0.023375865,Medio,3
5129,78756,36.52,63.47,42.85,57.15,88,2,19,20,29,38,58,74,60,42,83,104,119,103,87,63,245,306,344,262,270,120,79,102,112,71,118,121,125,237,167,92,40,29,3762204,3848639,7610843, ,3829,1884,1916,5129,Antioquia,Caldas,0.2397,0.8426,0.637517986,0,24.9,48.83,96.63090069,0.048614814,6,0.019218106,Medio,3
5134,9035,50.61,49.38,20.37,79.63,101,42,27,64,104,82,76,110,56,117,95,71,133,147,156,232,1229,648,873,151,168,163,208,239,130,162,175,265,330,217,232,121,77,21,8717329,5301100,14018429,2,7024,4363,2638,5134,Antioquia,Campamento,0.4616,0.5068,0.581753859,1,38.6,24.93,1551.569341,0.77742114,7,0.053518698,Alto,4
5138,16751,41.09,58.9,36.44,63.56,225,35,36,45,246,139,106,212,207,227,177,317,650,763,860,557,1780,1020,398,328,341,260,413,347,296,291,243,142,203,233,211,116,78,56,15976095,7032941,23009036, ,11558,8000,3502,5138,Antioquia,Cañasgordas,0.4591,0.6732,0.609726112,1,36.6,40.85,1373.591786,0.689988657,8,0.015230619,Medio bajo,2
5142,4569,49.35,5.064,24.69,75.31,44,12,17,30,30,46,49,48,45,35,16,33,34,172,151,88,162,86,92,72,80,115,95,60,26,30,41,23,41,21,23,16,17,10,2375062,1324841,3699903, ,1860,1190,660,5142,Antioquia,Caracolí,0.531,0.7328,0.644496306,0,31,38.07,809.783979,0.407091267,5,0.014966078,Medio bajo,2
5145,5340,41.82,58.17,27.08,72.92,47,5,8,21,21,16,34,32,70,127,39,41,69,102,12,38,48,108,118,66,77,51,50,53,32,17,20,11,16,10,19,3,10,6,1907544,872955,2780499, ,1397,956,435,5145,Antioquia,Caramanta,0.4197,0.6369,0.623504275,0,28.4,42.26,520.6926966,0.261610487,4,0.011037959,Medio bajo,2
5147,57220,46.79,53.2,28.29,71.71,531,97,118,124,302,202,309,290,801,973,1177,3083,2312,1476,1642,912,1352,1645,1132,607,788,708,607,906,971,540,459,433,564,864,837,468,270,247,36881580,18125536,55007116,1,27748,18478,9022,5147,Antioquia,Carepa,0.4044,0.7714,0.640355179,0,34.4,28.72,961.3267389,0.484935337,10,0.011273601,Medio bajo,2
5148,47340,32.95,67.04,33.68,66.32,183,35,47,46,39,62,128,154,256,155,331,212,552,1023,779,532,935,1865,1586,1362,733,520,324,421,242,135,99,115,91,110,97,48,18,24,17822966,8654803,26477769,2,13261,8920,4315,5148,Antioquia,El Carmen de Viboral,0.3827,0.7717,0.65152078,0,29.9,49.49,559.3107098,0.280122518,9,0.014957948,Medio bajo,2
5150,3583,41.99,58,28.17,71.83,14, ,7, , ,5,4,19,19,23,43,19,3,28,15,34,142,60,88,13,15,13,16,10,3,3,27,7,43,15,9,12, ,13,1044822,373745,1418567, ,722,523,186,5150,Antioquia,Carolina,0.5092,0.6909,0.684418649,0,19.9,36.94,395.9159922,0.201507117,3,0.009999609,Medio bajo,2
5154,114902,43.36,56.63,31.61,68.39,210,18,49,63,124,173,295,238,146,208,144,281,240,280,483,544,798,1128,691,509,783,957,817,1053,1821,3363,4709,2817,1298,1506,1515,1256,854,598,12206689,46749497,58956186,2,29971,6113,23258,5154,Antioquia,Caucasia,0.4506,0.813,0.638375825,1,36.4,27.93,513.0997372,0.260839672,10,0.012818149,Medio bajo,2
5172,78148,52.39,47.6,27.66,72.34,630,133,276,438,595,596,931,760,1002,1241,1063,3284,5786,3609,2019,1787,2103,1572,1545,766,919,1218,1100,1729,2241,1140,1193,1521,1541,882,1035,1209,320,284,58613886,33783319,92397205,1,46469,29370,16814,5172,Antioquia,Chigorodó,0.4305,0.8128,0.610682264,1,37.1,27.6,1182.336144,0.594628141,10,0.016228132,Medio bajo,2
5190,8998,37.11,62.88,26.38,73.62,103,12,14,33,8,1,23,64,65,58,86,122,176,187,65,58,120,72,66,89,60,88,91,71,63,58,61,96,52,50,51,21,18,29,2659333,1745273,4404606, ,2231,1333,869,5190,Antioquia,Cisneros,0.335,0.6152,0.659375148,0,25.3,55.45,489.5094465,0.247943988,5,0.010204454,Medio bajo,2
5197,14964,35.39,64.6,37.51,62.49,1258,150,79,92,124,168,205,309,283,325,507,409,388,479,1162,1198,8194,6346,7350,3405,3199,1399,832,828,450,164,125,136,81,149,128,43,48,10,58024062,22028730,80052792,3,40026,29026,10987,5197,Antioquia,Cocorná,0.4119,0.6844,0.596692342,0,31.1,43.2,5349.692061,2.674819567,10,0.094494037,Muy Alto,5
5206,3375,38.05,61.94,35.22,64.78,44,7,1,5,10,10,4,5,9,66,19,30,79,48,177,1021,786,807,265,354,84,77,31,30,31,26,7,20,5, ,6,13,18,4,6783501,1407578,8191079, ,4099,3393,702,5206,Antioquia,Concepción,0.4892,0.7122,0.643452641,0,27.5,76.47,2426.98637,1.214518519,6,0.019636068,Medio,3
5209,20565,32.41,67.58,19.86,80.14,111,31,13,25,51,45,64,47,92,52,105,91,202,688,524,432,696,673,495,591,567,267,246,241,237,137,83,57,118,109,57,100,88,39,8864208,5815664,14679872,7,7381,4437,2898,5209,Antioquia,Concordia,0.3859,0.743,0.585228313,1,40.1,24.65,713.8279601,0.358910771,7,0.009528012,Medio bajo,2
5212,71035,38.78,61.21,40.73,59.27,103,37,2,3,23,22,70,172,78,137,123,60,117,48,95,219,191,191,158,132,81,93,96,107,58,46,52,66,62,98,105,49,34,49,3689829,2167401,5857230, ,2977,1849,1079,5212,Antioquia,Copacabana,0.2021,0.8995,0.678992468,0,24.4,54.37,82.45787169,0.041910098,6,0.008449072,Medio bajo,2
5234,23280,64.68,35.31,28.6,71.4,720,121,143,200,129,303,210,261,282,374,501,742,1811,5570,4532,3654,4349,4728,3839,1916,3738,2131,1837,1652,1362,960,750,1016,822,410,468,406,215,115,64874877,35489429,100364306,8,50275,32469,17683,5234,Antioquia,Dabeiba,0.5707,0.6213,0.542649862,1,47,19.05,4311.181529,2.159579038,10,0.059099302,Muy Alto,5
5237,22726,26.02,73.97,32.46,67.54,10, , ,4, ,8,8,20,20,6,22,44,7,38,48,47,47,124,72,60,56,42,20,90,28,22,9,60,118,64,54,31,1,13,1048869,1316021,2364890, ,1193,525,655,5237,Antioquia,Don Matías,0.3935,0.7814,0.667311693,0,34.1,39.81,104.0609874,0.05249494,4,0.006813338,Medio bajo,2
5240,12510,35.09,64.9,24.91,75.09,19, ,2,7,3,10,15,8,17,19,15,30,168,36,57,94,188,90,40,56,44,32,70,29,124,34,37,79,88,125,35,22,48,67,1633882,1653933,3287815, ,1708,818,823,5240,Antioquia,Ebéjico,0.4248,0.7073,0.603021184,0,32.1,30.53,262.814948,0.136530775,5,0.005292688,Bajo,1
5250,49913,43.84,56.15,20.85,79.15,261,69,112,91,196,138,149,105,118,232,174,273,265,574,797,986,4808,5332,4267,1332,1506,2726,1522,1514,1502,1445,1352,1031,1312,7960,2651,1793,2955,706,37883260,61525775,99409035,2,50256,18947,30601,5250,Antioquia,El Bagre,0.5089,0.7836,0.618583962,1,45.9,30.8,1991.646164,1.006871957,10,0.042354628,Alto,4
5264,10102,32.95,67.04,33.68,66.32,4, ,13,1, , , ,6, , , ,2,14,50,33,41,6,31,32,13,12,2,19,21,19,21, , ,10,21,26,9,15, ,465459,377831,843290, ,421,233,188,5264,Antioquia,Entrerrios,0.4575,0.7996,0.686115109,0,31.9,34.87,83.4775292,0.041674916,3,0.003592017,Bajo,1
5266,227644,35.98,64.01,46.11,53.89,158,6,26,27,102,109,87,109,163,189,186,84,78,126,141,114,225,181,153,143,68,68,33,31,51,47,44,44,70,66,26,19,33,15,4515631,1492086,6007717,1,3023,2264,743,5266,Antioquia,Envigado,0.0819,0.8425,0.744849771,1,19.6,49.62,26.39606062,0.013282132,6,0.003829658,Bajo,1
5282,21426,35.72,64.27,26.69,73.31,36,21,1,35,31,52,11,30,41,41,82,32,60,56,121,123,80,68,94,98,80,79,36,41,44,32,13,26,25,74,64,40,29,20,2025532,1367790,3393322, ,1716,1015,681,5282,Antioquia,Fredonia,0.3802,0.7115,0.646542545,0,31.5,40.45,158.3740316,0.080089611,5,0.006865243,Medio bajo,2
5284,16311,55.19,44.8,24.05,75.95,310,97,56,71,67,123,179,195,207,271,261,483,1884,1750,2186,1396,4356,1158,713,566,407,551,417,391,392,343,230,291,251,224,131,170,101,82,31488672,8964968,40453640, ,20310,15763,4465,5284,Antioquia,Frontino,0.5483,0.7818,0.600910313,1,35.6,44.53,2480.144688,1.24517197,9,0.023123804,Medio,3
5306,4009,54.45,45.54,31.7,68.3,34,3,8,16,12,6,5,51,28,38,24,36,79,260,87,29,78,131,18,19,60,34,48,50,46,17,11,2,8,37,34,28,26,16,1882426,843647,2726073, ,1379,943,420,5306,Antioquia,Giraldo,0.4781,0.6461,0.637019469,1,27.2,56.69,679.9882764,0.343976054,4,0.008358858,Medio bajo,2
5308,55490,36.3,63.69,35.98,64.02,85,9,15,1,24,29,27,72,47,48,97,83,54,213,118,53,151,452,183,94,120,77,65,53,39,28,9,112,35,104,140,91,23,46,3516722,1989259,5505981, ,2797,1761,990,5308,Antioquia,Girardota,0.2469,0.9078,0.703478939,0,28,43.27,99.24799466,0.05041729,6,0.009765016,Medio bajo,2
5310,12964,36.76,63.23,26.08,73.92,13, ,1, , ,3,9,14,10,29,6,4,16,64,84,71,197,91,155,154,40,62,29,23,16,8,28,32,35,54,53,44,21,11,1533096,1202959,2736055, ,1377,767,599,5310,Antioquia,Gómez Plata,0.4784,0.5938,0.645145424,0,33.1,29.41,211.050216,0.106217217,4,0.007053821,Medio bajo,2
5313,9866,39.46,60.53,35.34,64.66,399,58,44,71,194,360,384,306,419,381,342,534,527,573,1460,1433,8618,7203,9644,3577,2586,1338,739,450,459,116,26,38,57,25,62,32,24,33,65885895,19101484,84987379, ,42512,32950,9529,5313,Antioquia,Granada,0.4326,0.6553,0.612926568,0,29,49.86,8614.167748,4.308939793,10,0.120285064,Muy Alto,5
5315,6306,54.88,45.11,24.54,75.46,82,41,48,38,19,33,50,75,34,38,15,77,53,42,64,223,106,118,326,138,55,114,43,64,28,20,86,99,97,65,47,50,39,6,2958209,1898304,4856513, ,2433,1482,945,5315,Antioquia,Guadalupe,0.4511,0.7845,0.638992743,0,38.2,34.2,770.1416112,0.385823026,5,0.028623246,Medio,3
5318,48659,26.73,73.26,46.71,53.29,121,4,24,29,7,33,39,98,89,82,98,54,106,218,287,186,97,206,295,135,171,156,143,80,97,16,25,26,54,34,52,22,24,13,4138386,2077275,6215661, ,3121,2073,1035,5318,Antioquia,Guarne,0.303,0.8494,0.664587444,0,34.1,38.29,127.7391849,0.064140241,6,0.012023804,Medio bajo,2
5321,5231,38.52,61.47,49.99,50.01,25, ,16,2, ,15,12,14,22,25,21,39,24,76,155,160,752,553,397,147,79,51,20,33,16,6,6,4,3,7,7,5, , ,4614820,769949,5384769, ,2692,2308,384,5321,Antioquia,Guatapé,0.4109,0.7762,0.666106441,0,35.4,70,1029.395718,0.514624355,6,0.016584896,Medio bajo,2
5347,5837,44.28,55.71,24.23,75.77,68,3,2, ,22,2,11,17,7,36,18,14,21,49,54,348,940,301,100,73,64,84,41,63,42,21,35,46,62,30,48,19,31,17,4023618,1323550,5347168, ,2689,2013,659,5347,Antioquia,Heliconia,0.412,0.686,0.617384059,0,31.5,28.71,916.0815487,0.460681857,6,0.011679044,Medio bajo,2
5353,4874,41.23,58.76,21.88,78.12,18, ,13,2,60,7,26,51,52,18,20, ,43,61,53,25,34,32,26,30,23,7,9,5,7,9, ,1,22,20,15,7,6,10,1078924,323389,1402313, ,712,541,161,5353,Antioquia,Hispania,0.3923,0.7077,0.633278629,0,28.6,46.39,287.7129668,0.146081247,3,0.00426782,Bajo,1
5360,270903,37.09,62.9,39.3,60.7,384,47,43,95,119,149,305,551,409,569,619,431,495,518,465,597,589,711,797,491,305,263,207,293,312,493,778,925,807,732,425,280,186,102,15750358,13058515,28808873, ,14492,7893,6497,5360,Antioquia,Itagui, ,0.8004,0.722640224,0,23.2,42.34,106.3371955,0.053491806,9,0.011647468,Medio bajo,2
5361,20628,69.34,30.65,23.88,76.12,450,85,101,69,133,217,177,130,103,194,136,251,626,5370,2408,637,3006,4745,2797,1446,4188,2212,1964,1570,2571,1416,1886,4041,1483,1403,830,857,398,298,43234310,52748425,95982735,3,48201,21635,26265,5361,Antioquia,Ituango,0.5793,0.6572,0.566116247,1,38.8,37.08,4653.031559,2.336678301,10,0.085086979,Muy Alto,5
5364,13673,35.96,64.03,37.98,62.02,257,65,56,57,99,108,62,115,108,57,51,49,30,48,49,91,152,366,162,62,39,159,109,82,95,75,37,34,42,64,68,27,18,50,3951780,1829525,5781305,3,2946,1982,911,5364,Antioquia,Jardín,0.409,0.8052,0.636213062,0,28.5,34.93,422.8263731,0.215461128,6,0.007798241,Medio bajo,2
5368,12016,29.01,70.98,30.59,69.41,9, ,5,4,2,12,6,35,2,15,14,8,44,13,42,2,28,33,38,48,43,36,37,7,5, ,24,5,25,6,1, ,6,2,622766,487590,1110356, ,557,312,243,5368,Antioquia,Jericó,0.4137,0.7611,0.660181387,0,26,39.7,92.40645806,0.04635486,3,0.005901833,Bajo,1
5376,53361,30.1,69.89,51.46,48.54,134,22,25,26,29,25,48,73,142,118,97,180,313,319,377,196,265,405,330,277,364,236,141,204,136,38,56,42,65,35,29,30,25,8,6237540,3366684,9604224, ,4810,3124,1678,5376,Antioquia,La Ceja,0.2754,0.754,0.680286667,0,29.8,57.52,179.9858323,0.090140739,7,0.010880537,Medio bajo,2
5380,63335,36.46,63.53,36.93,63.07,38,8,3,8,25,47,68,94,72,86,77,108,109,64,57,65,81,79,102,64,61,68,63,53,48,22,40,109,245,165,84,60,19,13,2376079,2213171,4589250,1,2306,1191,1101,5380,Antioquia,La Estrella,0.1576,0.887,0.677224991,0,23.9,53.02,72.46336765,0.036411293,5,0.010536212,Medio bajo,2
5390,6507,42.26,57.73,37.32,62.68,36,11, ,8,4,11,5,14,12,19,20,3,26,148,66,33,86,180,475,120,84,101,61,24,53,39,12,17,40,14,54,27,24,12,2312863,1345024,3657887, ,1839,1157,670,5390,Antioquia,La Pintada,0.3561,0.7509,0.66957161,1,31.5,56.61,562.1464577,0.282618718,5,0.015849581,Medio bajo,2
5400,19229,34.78,65.21,46.42,53.58,55,14,6,5,28,6,4,29,60,139,302,174,424,1055,782,525,1863,1590,1244,527,286,324,175,285,152,79,44,45,66,59,18,15,18,12,16601051,4198576,20799627,2,10412,8305,2093,5400,Antioquia,La Unión,0.3717,0.7632,0.660220511,0,25.7,48.48,1081.680119,0.541473816,8,0.020436384,Medio,3
5411,9546,35.78,64.21,29.36,70.64,38,14,10,33,58,25,84,47,114,48,237,201,330,839,2818,529,272,244,196,234,223,190,94,66,80,95,52,69,40,40,27,40,28,12,12257338,2564770,14822108,1,7428,6137,1278,5411,Antioquia,Liborina,0.456,0.7904,0.616552787,0,32.2,57.74,1552.703541,0.778126964,7,0.005913656,Bajo,1
5425,6775,42.18,57.81,25.43,74.57,228,88,108,40,89,217,100,158,141,73,135,158,402,511,195,268,221,168,185,351,151,191,163,136,129,124,107,89,52,97,67,97,29,18,6950623,3579481,10530104,6,5292,3485,1783,5425,Antioquia,Maceo,0.5302,0.7049,0.631847787,0,31.5,41.21,1554.258893,0.781107011,7,0.017134685,Medio bajo,2
5440,54186,31.36,68.63,46.53,53.47,125,5,9,4,5,37,40,137,69,37,114,144,50,140,241,184,760,1782,629,258,228,254,181,168,125,81,68,71,75,61,91,31,39,14,9019186,3474464,12493650, ,6257,4512,1731,5440,Antioquia,Marinilla,0.267,0.8563,0.678261883,0,30.7,46.19,230.5697044,0.115472631,7,0.008415914,Medio bajo,2
5467,6077,55.11,44.88,30.23,69.77,49,11,8, ,1,5,15,19,46,31,75,29,72,53,240,196,797,1198,1301,516,260,195,139,105,164,62,17,21,52,43,33,8,8,5,8292048,3255296,11547344, ,5774,4146,1623,5467,Antioquia,Montebello,0.3719,0.7759,0.667619441,0,29.2,55.18,1900.171795,0.950139872,7,0.019682223,Medio,3
5475,4692,96.06,3.93,42.21,57.79,11,5,58,12,2,4,4,11,9,13,4,17,57,445,212,123,169,1068,482,82,225,174,86,72,78,56,58,52,65,55,64,27,16,8,5410224,2228368,7638592,2,3826,2706,1110,5475,Antioquia,Murindó,0.6839,0.2808,0.52480789,0,54.8,43.78,1628.00341,0.81543052,6,0.019991692,Medio,3
5480,21077,64.5,35.49,22.23,77.77,713,196,234,212,214,273,251,346,275,423,674,1328,3908,14031,7922,2544,3787,2213,977,507,581,1290,1123,685,1069,464,365,445,976,431,493,222,153,56,80922634,17681096,98603730,3,49384,40521,8804,5480,Antioquia,Mutatá,0.5691,0.7236,0.557100517,1,45.2,6.32,4678.262087,2.343027945,10,0.039792579,Alto,4
5483,17486,32.58,67.41,27.87,72.13,323,23,34,52,69,99,94,85,110,190,172,267,605,405,533,2523,1434,1061,1561,1616,1732,2404,4348,1731,621,249,128,162,134,263,167,111,40,24,19262095,27493942,46756037,1,23371,9640,13706,5483,Antioquia,Nariño,0.4408,0.6389,0.597749483,0,37.8,16.1,2673.912673,1.336554958,10,0.044173706,Alto,4
