Municipality,Population,Votedyes,Votedno,Voted,DidNotVote,Affected1984,Affected1985,Affected1986,Affected1987,Affected1988,Affected1989,Affected1990,Affected1991,Affected1992,Affected1993,Affected1994,Affected1995,Affected1996,Affected1997,Affected1998,Affected1999,Affected2000,Affected2001,Affected2002,Affected2003,Affected2004,Affected2005,Affected2006,Affected2007,Affected2008,Affected2009,Affected2010,Affected2011,Affected2012,Affected2013,Affected2014,Affected2015,Affected2016,Affected2017,Weightedaffected84to2002,Weightedaffected2003to2016,Weightedaffected,Affected9999,Total_affected,affected84to2002,affected2003to2016,Divipola,Departamento,Municipio,Rurality2010,PovertyIndex2013,IDHMpnud2010,ArmedGroups,Rezagoescolar,COBERTURA_NETA_MEDIA,ProportionAffected,ProporTotAff,Weightedaffected10group,ConflictIndex,ndicedeindicenciadelconflictocategora,ConflictCategory
41298,90187,34.43,65.56,36.6,63.4,48,24,14,15,48,34,64,76,82,34,66,45,42,65,108,54,95,145,288,438,450,414,553,849,833,845,552,570,596,734,585,388,194,44,2688780,16076312,18765092, ,9392,1347,8001,41298,Huila,Garzón,0.3982,0.8184,0.633876132,0,41.3,12.99,208.0687017,0.104139177,8,0.009051542,Medio bajo,2
41306,33869,38.49,61.5,38.55,61.45,50,11,3,32,18,31,31,34,50,32,9,32,36,47,111,216,93,285,569,500,518,417,544,689,560,484,278,233,420,339,417,375,88,42,3377266,11774241,15151507, ,7594,1690,5862,41306,Huila,Gigante,0.4509,0.745,0.620372003,0,36.9,31.52,447.3297806,0.224203596,8,0.017431321,Medio bajo,2
41319,21666,29.82,70.17,36.97,63.03,11, ,3,2, ,10,16,10,13,11,21,8,19,30,55,29,48,91,97,97,44,60,104,136,168,217,183,188,226,294,424,257,22,29,947029,4866215,5813244, ,2923,474,2420,41319,Huila,Guadalupe,0.4365,0.8259,0.627522824,0,36.4,33.35,268.4233273,0.134967909,6,0.009386221,Medio bajo,2
41349,6957,44.56,55.43,41.51,58.49,11,14, ,16,2, ,2,2,1, ,10, ,13,21,10,70,27,36,102,99,49,150,87,176,96,176,78,52,43,69,75,68,31,7,673311,2508680,3181991, ,1593,337,1249,41349,Huila,Hobo,0.488,0.6662,0.613930448,0,38.9,38.05,456.9856384,0.228780698,5,0.019389125,Medio,3
41357,12959,39.12,60.87,42.27,57.73,9,1,45,8, ,6,27,39,11,25,23, ,9,34,44,103,96,114,174,176,148,162,450,358,290,207,276,177,309,215,565,643,121,36,1534152,8236020,9770172,1,4902,768,4097,41357,Huila,Iquira,0.4964,0.7438,0.624339303,0,32.4,33.33,753.9294699,0.378269928,7,0.01056045,Medio bajo,2
41359,27485,27.33,72.66,42.48,57.52,65,25,33,25,69,29,44,38,60,31,92,74,69,158,134,95,197,438,617,697,302,468,372,366,354,557,492,419,369,537,457,387,122,54,4580809,11851371,16432180,1,8247,2293,5899,41359,Huila,Isnos,0.4444,0.5264,0.619141141,0,36.2,33.2,597.8599236,0.300054575,8,0.023166386,Medio,3
41378,14271,44.6,55.39,30.12,69.88,27,27,40,33,8,1,13,6,3,10,3,30,27,21,22,28,133,65,120,51,74,64,96,89,158,164,156,131,186,254,339,360,162,35,1231683,4593981,5825664, ,2936,617,2284,41378,Huila,La Argentina,0.4917,0.7162,0.634612371,0,34.8,37.05,408.2169435,0.205731904,6,0.010141847,Medio bajo,2
41396,63828,32.74,67.25,34.58,65.42,40,58,42,17,63,42,36,28,73,45,36,74,57,66,61,89,121,257,411,366,339,410,483,518,606,484,452,362,488,808,637,444,200,83,3226808,13257872,16484680, ,8296,1616,6597,41396,Huila,La Plata,0.4379,0.7653,0.629178569,0,35.4,35.33,258.3117351,0.129996709,8,0.011092911,Medio bajo,2
41483,6389,34.95,65.04,39.35,60.65,11,27,2,8,6,4,7,5,15, , ,4,6,10,18,144,86,100,166,95,110,128,117,85,117,124,58,84,59,167,81,59,40,6,1237114,2659756,3896870, ,1949,619,1324,41483,Huila,Nátaga,0.4644,0.6911,0.644649062,0,33.8,33.95,610.1252544,0.305151088,5,0.014938892,Medio bajo,2
41503,13830,27.38,72.61,43.06,56.94,59,4,24, ,18,7,3,36,10,4,7,21, ,29,29,57,59,24,268,93,91,112,106,120,210,185,60,64,145,106,132,122,83,26,1316116,3273452,4589568, ,2314,659,1629,41503,Huila,Oporapa,0.4318,0.7198,0.611175625,1,37.6,37.11,331.9519745,0.167365832,5,0.009460385,Medio bajo,2
41518,5606,28.41,71.58,45.9,54.1,1, , , , , , , , , , , , , ,2, ,2,8,11,36, ,4,7,2,32,13, ,25,22,24,14,12,14, ,48010,412008,460018, ,229,24,205,41518,Huila,Paicol,0.5357,0.8048,0.640877708,0,28.4,47.27,82.05815198,0.04084909,2,0.003952768,Bajo,1
41524,33253,37.6,62.39,38.13,61.87,43,9,7,3,7,9,4, ,7,13,14,6,20,5,10,12,47,64,144,85,87,116,154,173,246,168,106,179,179,200,197,160,106,51,846781,4333429,5180210, ,2631,424,2156,41524,Huila,Palermo,0.4891,0.8301,0.63555137,1,33.2,32.37,155.8051612,0.079132579,5,0.015314223,Medio bajo,2
41530,11690,37.92,62.07,36.66,63.34,77,93,22,7,29,55,15,4,5,5,2,39,15,35,5,18,58,76,69,35,75,86,101,58,85,87,65,53,54,109,102,96,26,2,1253574,2073892,3327466, ,1663,629,1032,41530,Huila,Palestina,0.452,0.7111,0.619970871,0,37.1,42.68,284.5933972,0.142234006,5,0.0108735,Medio bajo,2
41548,13772,28.37,71.62,40.09,59.91,4,2, ,5, ,4,9,3, ,12,11, ,5, ,5,3,20,63,56,89,40,42,39,118,79,94,28,46,58,86,95,42,22,9,403672,1764087,2167759, ,1089,202,878,41548,Huila,Pital,0.4376,0.6948,0.626070654,0,32.5,35.97,157.357651,0.079050523,4,0.008026511,Medio bajo,2
41551,128263,34.77,65.22,34.8,65.2,276,89,35,38,63,89,91,134,156,86,166,111,117,219,321,293,338,478,1058,593,631,720,981,1090,1050,990,608,613,662,821,924,697,354,199,8302547,21567224,29869771, ,15091,4158,10734,41551,Huila,Pitalito,0.3703,0.845,0.64099143,1,31.6,36.83,232.9008819,0.117667698,9,0.018536979,Medio bajo,2
41615,18994,45.86,54.13,40.09,59.91,4,2,5,11,10, ,5,4,21,32,15,59,6,21,26,14,15,64,62,49,53,63,260,176,236,210,128,119,144,125,87,96,20,10,750745,3548164,4298909,2,2154,376,1766,41615,Huila,Rivera,0.4575,0.8576,0.636540022,0,34.5,42.18,226.3536752,0.113416175,5,0.010008396,Medio bajo,2
41660,11581,42.31,57.68,39.91,60.09,22,12,12,19,18,48,14,5,15,3,10,48,9,24,110,61,40,73,87,70,102,126,80,177,129,133,104,136,155,293,151,93,32,12,1257541,3579422,4836963, ,2423,630,1781,41660,Huila,Saladoblanco,0.5215,0.7145,0.612619802,0,40.2,43.49,417.6997409,0.209240069,5,0.010339197,Medio bajo,2
41668,33202,32.65,67.34,36.96,63.04,78,94,50,80,41,25,46,41,36,44,60,37,78,76,67,92,130,146,417,301,207,280,393,328,465,488,538,568,479,503,657,462,162,72,3269079,11720532,14989611, ,7541,1638,5831,41668,Huila,San Agustín,0.5264,0.6919,0.619123334,0,34.8,58.91,451.4807084,0.227131713,8,0.015869267,Medio bajo,2
41676,11450,28.83,71.16,42.04,57.96,7, ,2,9,22,8,3,6,3, ,4,15,19,28,14,57,214,400,260,129,122,97,221,199,280,217,102,148,185,258,180,122,47,17,2141859,4635596,6777455, ,3395,1071,2307,41676,Huila,Santa María,0.4913,0.6226,0.629954972,1,35.4,30.36,591.7624203,0.296428883,6,0.013872408,Medio bajo,2
41770,19494,31.99,68,27.76,72.24,77,34,67,30,32,22,5,5,41,15,11,11,5,16,65,34,32,79,201,153,83,160,151,180,229,149,113,63,154,220,341,292,72,37,1559904,4743767,6303671,5,3184,782,2360,41770,Huila,Suaza,0.4962,0.7813,0.633400109,1,37.3,38.59,323.4974341,0.163399364,6,0.01368466,Medio bajo,2
41791,17763,32.12,67.87,39.43,60.57,12,5,5,16,9,16,27,32,25,44, ,26,48,19,51,12,17,55,223,125,39,133,117,169,170,182,102,96,218,570,420,376,59,153,1282113,5582645,6864758, ,3571,642,2776,41791,Huila,Tarqui,0.4711,0.7388,0.617124756,0,33.9,43.3,386.4638856,0.201035861,6,0.009770498,Medio bajo,2
41797,9280,23.54,76.45,43.54,56.46,5,4, ,2,4, , , ,2, ,6,13,16,5,14,6,50,99,83,17,55,52,52,99,91,48,35,34,41,135,121,73,40,14,617821,1795096,2412917, ,1216,309,893,41797,Huila,Tesalia,0.5166,0.7912,0.640981091,0,23.8,37.75,260.0126078,0.131034483,4,0.007002526,Medio bajo,2
41799,14273,47.25,52.74,38.27,61.73,59,21,22,4,32,11,16,33,17,39,24,22,42,27,46,50,62,123,393,458,370,371,377,591,423,330,223,257,337,457,428,386,168,17,2083274,10398974,12482248,2,6238,1043,5176,41799,Huila,Tello,0.5061,0.7224,0.605406367,0,37.2,39.12,874.474429,0.437018355,7,0.020271454,Medio,3
41801,8787,29.08,70.91,39.87,60.13,13, , , , , , ,9,1,5,7, ,34, ,12,3,18,41,67,89,45,86,77,155,80,109,42,55,114,123,58,52,5, ,419638,2189709,2609347, ,1300,210,1090,41801,Huila,Teruel,0.5499,0.5712,0.618035608,0,39,48.28,296.9553886,0.147945829,4,0.010167439,Medio bajo,2
41807,20350,24.37,75.62,40.06,59.94,48,58,46,11,41,38,41,41,17,18,5,21,18,18,12,14,53,62,200,172,107,81,65,113,188,85,97,93,80,122,133,63,27,9,1519787,2864577,4384364, ,2197,762,1426,41807,Huila,Timaná,0.3998,0.6031,0.638138561,0,31.7,24.83,215.4478624,0.107960688,5,0.01066141,Medio bajo,2
41872,7315,57.67,42.32,40.34,59.66,12, , , , , , ,13,20, , ,4,2,3,7,3,147,104,77,36,43,168,122,76,69,48,18,49,78,61,97,79,25,12,783735,1946759,2730494, ,1373,392,969,41872,Huila,Villavieja,0.5503,0.6962,0.63706354,0,28,25.15,373.4774997,0.187799207,4,0.007189838,Medio bajo,2
41885,9064,38.68,61.31,44.19,55.81, , , , , , ,5, , , , , , ,9, ,11,2,5,5,8,7,16,14,9,16,19,15,16, ,24,13,26, , ,73927,367788,441715, ,220,37,183,41885,Huila,Yaguará,0.5115,0.7318,0.68275067,0,31.1,40.74,48.73827651,0.024274523,2,0.003623809,Bajo,1
44001,268712,63.57,36.42,25.34,74.66,374,29,36,27,41,31,21,107,157,212,139,622,430,353,465,606,3556,1830,6954,2779,2402,5213,3918,2824,3466,3206,1968,948,959,1199,1686,1037,316,164,31975459,64087286,96062745,11,48086,15990,31921,44001,La Guajira,Riohacha,0.4422,0.6671,0.633802924,1,33.4,31.69,357.4321323,0.178919325,10,0.0193088,Medio,3
44035,27102,58.5,41.49,24.88,75.12,14, ,9, ,5,12,13,9,18,16,12,16,20,273,9,13,46,14,286,57,120,246,131,51,96,45,253,34,127,63,57,42,43,39,1568495,2741560,4310055,1,2190,785,1365,44035,La Guajira,Albania,0.4823,0.4557,0.668898896,0,36.4,48.74,159.0308833,0.080805845,5,0.006616836,Medio bajo,2
44078,35393,71.63,28.36,26.98,73.02,40,9,10,20,23,7,21,12,24,53,94,161,78,396,163,369,471,529,203,983,343,443,375,295,166,86,1718,257,174,287,251,103,56,6,5360962,11118734,16479696,5,8231,2683,5537,44078,La Guajira,Barrancas,0.4899,0.7439,0.612239226,1,41.1,22.79,465.6202074,0.232560111,8,0.013313029,Medio bajo,2
